source,target,value
Yorick,Lucian,8.1727781230578
Lucian,Yorick,1.403190524462466
Pantheon,MasterYi,6.516215812285159
MasterYi,Pantheon,2.9708367402562006
Anivia,Kayn,9.096612296110413
Kayn,Anivia,1.4372088413123203
Tristana,Amumu,5.149826833308237
Amumu,Tristana,5.759514988211519
Velkoz,MissFortune,13.879808901181795
MissFortune,Velkoz,1.771388229253578
Sivir,Lux,13.936813802375084
Lux,Sivir,2.2339546744244516
JarvanIV,Lucian,8.190224570673713
Lucian,JarvanIV,2.6463212932828255
Annie,Khazix,6.308610400682012
Khazix,Annie,2.0466016732351515
Fiora,Yuumi,6.666666666666667
Yuumi,Fiora,3.307956612544634
Sivir,Yuumi,6.5874971991933675
Yuumi,Sivir,1.980731658020616
Fizz,Amumu,5.143520822963332
Amumu,Fizz,2.610306500505221
Fizz,Jhin,9.955201592832255
Jhin,Fizz,2.6022466062367178
Karma,Jhin,10.910140465653262
Jhin,Karma,2.4591230428936983
Lillia,Leona,6.092982962749061
Leona,Lillia,3.6695652173913045
Shyvana,Yasuo,13.945704722945331
Yasuo,Shyvana,1.1894566561994482
Kassadin,Khazix,6.990014265335236
Khazix,Kassadin,2.0327732835511303
Veigar,MasterYi,7.513372309988804
MasterYi,Veigar,4.1155628236576725
Leblanc,Viego,5.8782657031684264
Viego,Leblanc,3.093235831809872
Warwick,Yone,9.484848484848484
Yone,Warwick,4.336581536045814
Hecarim,Vex,6.467661691542288
Vex,Hecarim,2.2932356333536874
Sivir,Vex,6.856374635895138
Vex,Sivir,2.0761245674740483
Ziggs,Zed,9.032617786451073
Zed,Ziggs,1.7775827069731718
Veigar,Sett,5.983331260106978
Sett,Veigar,3.5042984117732767
Garen,Tristana,5.743243243243244
Tristana,Garen,3.8397831651859655
Xerath,Khazix,6.803247004252029
Khazix,Xerath,3.650694876581622
FiddleSticks,MissFortune,13.378378378378377
MissFortune,FiddleSticks,1.588473140363263
Ekko,Nami,5.059580102137318
Nami,Ekko,4.711580801409071
Leblanc,Jinx,5.322401334074486
Jinx,Leblanc,3.4162875747034165
DrMundo,Ezreal,7.731281666353912
Ezreal,DrMundo,2.3375886524822693
DrMundo,Brand,5.029086132482642
Brand,DrMundo,2.421176258017888
Irelia,Brand,5.077235522185981
Brand,Irelia,7.4532478091968555
Swain,Viego,6.110390546188212
Viego,Swain,3.1005484460694697
Malzahar,Khazix,6.954036675398904
Khazix,Malzahar,2.018944893867109
Hecarim,Jhin,9.892843474933027
Jhin,Hecarim,2.2422691590406387
Vi,Yasuo,13.490413490413491
Yasuo,Vi,1.8523804992546071
Shaco,Jhin,10.203482684406183
Jhin,Shaco,4.5235720171748275
Teemo,Khazix,6.134515890613452
